indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA18862	-0.0349	-0.0033	0.0143	-0.0397	0.0089	0.0292	-0.0135	0.0074	0.0141	-0.0248	0.0079	-0.0022	0.0072	-0.0061	0.0112	-0.0072	0.0223	0.0109	0.0054	0.0227
NA18864	-0.0393	-0.0018	0.0133	-0.0482	0.0064	0.0061	-0.0323	-0.0062	0.0019	-0.0378	0.0196	-0.0272	0.0157	-0.0312	0.0184	0.0109	-0.0021	-0.0312	0.0046	-0.0144
NA18865	-0.0301	-0.0115	-0.0309	0.0212	-0.04	0.0244	0.0785	-0.0152	0.0288	0.0116	0.0237	-0.007	-0.0016	-0.0433	-0.0548	0.0282	0.0034	0.008	3e-04	0.027
NA18867	-0.0173	-0.0235	-0.0118	-0.0242	-0.0487	-0.0014	0.0071	-0.0091	-0.0655	-0.0504	-0.0279	-0.0483	0.0251	0.0038	0.0074	-0.0111	0.0228	-0.1144	-0.0844	-0.0574
NA18868	-0.0432	-0.0054	0.0067	-0.041	0.0619	-0.0243	-0.0067	0.0117	-0.0083	0.0396	0.021	0.0472	0.0304	0.054	0.0581	-0.0193	-0.0286	0.0184	0.0052	0.0206
NA18870	-0.0356	-0.01	-0.0082	-0.022	-0.0037	0.0063	-0.0105	0.0087	0.0042	0.0029	0.025	0.015	-0.0042	0.0783	-0.0302	0.013	-0.0122	-0.0246	0.0108	0.0185
NA18871	-0.0298	-0.0088	-0.0298	-0.0028	-0.0377	0.0089	0.001	0.0194	0.012	-7e-04	0.0232	-0.0099	-0.0187	0.0073	-0.0071	-0.0077	0.011	-0.0303	0.0459	2e-04
NA18873	-0.0453	-0.0135	0.0627	0.0431	0.0099	0.028	0.0753	-0.0302	0.042	0.0114	-0.0256	0.0116	-0.0294	-0.0086	-0.0129	-0.0065	0.0264	-0.0473	-0.0207	0.0025
NA18874A	-0.0419	-0.0097	0.0101	-0.045	0.0119	0.0288	-0.0337	-0.0077	0.0346	-0.0012	0.0449	0.0171	0.0268	0.035	0.0249	-0.0152	0.0032	0.0049	-0.0072	0.0138
NA18877	-0.0241	-0.0038	-0.0044	-0.0081	-0.0168	0.0064	0.0184	-0.0016	0.0167	-0.0091	0.0028	0.0175	-0.0049	-0.0235	0.0326	-0.0265	0.0349	0.0465	-0.0173	-0.0155
NA18878	-0.0535	-0.0047	0.07	0.0659	0.0099	0.0083	0.0323	-0.0139	0.0277	-0.0073	0.038	0.0112	0.005	0.0657	-0.0171	0.0073	-0.0593	0.0214	0.001	0.0097
NA18879	-0.0384	-0.0093	0.0024	-0.0232	-0.0146	0.0196	0.0055	-0.0036	0.0451	-0.0263	0.0415	-0.0174	-0.0205	0.023	0.0028	0.0089	0.0545	-0.0256	-0.006	0.0211
NA18881	-0.026	-0.0089	-0.0311	-1e-04	0.009	-0.0329	0.0071	0.0222	-0.0225	0.0212	0.0032	0.0066	-0.0173	0.0073	0.0225	-0.0411	-0.0093	-0.0082	-0.0117	-0.0047
NA18907	-0.0297	-0.0117	-0.0258	-0.0028	0.0029	-0.0328	8e-04	0.0114	-0.0228	0.0148	0.0329	0.0145	-0.0071	-0.0015	0.0264	-0.0535	-0.0092	-0.0034	-0.0258	-0.0078
NA18908	-0.0233	-0.0218	-0.0101	-0.0141	-0.0434	-0.0378	0.0112	0.0194	-0.0178	0.0079	0.0301	0.0121	-0.0109	0.0048	-8e-04	-0.0346	0.0235	0.0032	-0.0288	-0.005
NA18909	-0.0301	-0.0108	-0.042	-0.0064	-0.044	0.0078	-0.0175	-0.0085	-0.002	-0.0331	0.0225	0.0267	-0.0126	-0.018	0.0108	0.0134	0.0113	0.0259	-0.0079	0.0306
NA18910	-0.0317	-0.0037	0.0048	-0.0504	0.0266	0.0237	-0.0598	0.0311	0.0028	0.0286	-0.0711	0.0058	-0.0474	0.0385	-0.0169	-0.0053	-0.0076	0.0107	-0.0274	-0.0054
NA18912	-0.0299	-0.0138	-0.0132	-0.0307	-0.0159	6e-04	-0.056	0.011	-0.0217	0.024	0.0195	0.0599	0.0043	-0.0844	-9e-04	0.0624	-0.0114	-0.0532	-0.0246	-0.0414
NA18913	-0.0374	-0.0046	-0.0279	-0.0323	0.0418	-0.0166	-0.0049	0.0138	-0.0333	0.0359	-0.1068	-0.0088	0.0449	-0.0487	-0.0446	-0.0261	0.0217	0.0301	0.0333	0.0446
NA18915	-0.0397	1e-04	-0.0498	-0.0015	-0.0347	0.0278	-0.04	0.0085	0.037	-0.0225	0.0446	-0.0029	0.0189	0.0384	0.0428	0.0351	-0.0142	0.0149	0.0302	0.0181
NA18917	-0.0385	-0.0076	0.0114	-0.0331	0.0108	0.0503	0.0153	-0.0208	0.039	-0.0066	-0.0193	0.0183	0.0121	-0.0099	0.0505	-0.0147	0.0194	-0.0262	0.0092	0.0071
NA18923	-0.0237	-0.0105	-0.0247	-0.0084	-0.0301	-0.0177	-0.0388	0.016	-0.0209	0.0502	0.0385	0.086	0.036	0.0268	-0.0727	0.1192	0.0556	-0.0234	0.0039	0.0094
NA18924	-0.0441	-0.0098	0.0724	0.0547	-0.0034	-0.0059	0.0105	-0.0109	0.0114	-0.0185	0.0092	0.0021	-0.0181	-0.0096	-0.0049	0.0126	-0.0326	-0.0048	-0.0209	0.0138
NA18933	-0.0402	7e-04	0.0231	0.0643	-0.0256	-0.0063	-0.0504	0.0142	-0.0021	-0.0097	0.0098	-0.0127	0.0056	-0.0204	0.0101	-0.0137	0.0196	0.011	0.0225	3e-04
NA18934	-0.031	-0.0065	-0.0055	0.0061	-0.0203	0.0579	0.0869	-0.041	0.0466	0.0227	-0.0513	0.0299	-0.0078	-0.0099	0.08	-0.0247	-0.001	-0.0754	-0.0138	5e-04
NA18939	0.0118	-0.0223	-3e-04	0.0016	0.0013	2e-04	-0.0013	0.0045	0.0051	-0.0069	0.0019	-0.0028	-0.0011	-0.0036	-0.0088	0.0031	0.0086	0.0025	-0.006	-0.0193
NA18940	0.0153	-0.0208	0.0022	1e-04	0.0018	-0.0072	0.0035	0.029	0.0166	0.001	0.002	-0.002	0.0069	0.0023	0.0037	0.002	-0.0043	-0.0067	0.0071	0.0059
NA18941	0.0135	-0.0246	0.0011	0.001	4e-04	-0.0056	-0.0042	0.0173	0.0197	-0.0125	-0.0038	0.0069	0.0068	-0.0031	-0.0024	-0.0016	-0.0078	1e-04	4e-04	-0.009
NA18942	0.0098	-0.0274	-7e-04	0.0027	7e-04	-0.0056	-0.0138	-0.0039	0.0215	-0.0079	-0.0022	2e-04	2e-04	0.0071	-0.0066	0.0083	0.0065	0.0025	-0.0016	-0.0113
NA18943	0.0146	-0.0254	0.0045	0.0055	0.0091	0.0063	-0.0035	0.0087	0.0104	0.0092	0.0108	-0.0112	-0.0043	0.006	0.0037	0.0048	-0.0122	0.0105	-0.0148	-0.0192
NA18944	0.0141	-0.023	1e-04	0.0025	0.0026	0.0055	0.0037	0.0157	0.0085	-0.0092	-0.0097	-0.0058	0.0073	-0.0032	9e-04	0.0045	0.0025	-7e-04	-9e-04	0.0034
NA18945	0.0104	-0.0235	-0.0127	0.0123	0.0309	0.0099	0.0022	-0.0107	-0.0051	-0.0072	-0.0133	-0.0034	0.0037	2e-04	-0.004	-0.0025	0.0105	-0.0048	-5e-04	0.0107
NA18946	0.0145	-0.0257	4e-04	0.0041	0.0055	0.01	-0.0029	0.0115	0.0029	0.0012	9e-04	-0.002	-9e-04	0.0096	0.0025	-0.0024	-0.0014	-5e-04	0.0035	0.0072
NA18947	0.0133	-0.0233	0.0019	0.0035	0.0042	0.0074	-0.0043	-0.0023	-0.008	-0.007	-0.0062	7e-04	-0.0029	0.0054	-0.0019	0.0166	0.0153	7e-04	0.0107	0.0125
NA18948	0.0149	-0.0289	-2e-04	0.0076	0.0076	0.0335	0.0028	0.0012	-0.0252	0.0073	0.0016	-0.0165	-0.0054	0.0067	0.0041	0.0159	0.0079	-0.0011	0.0021	0.0183
NA18949	0.0133	-0.0279	0.0016	0.0055	0.0048	0.019	-0.0049	0.0089	-0.0053	0.0049	0.0086	-0.0042	-0.0037	9e-04	0.0038	-0.0059	-0.0054	0.0041	-0.0034	0.002
NA18950	0.0134	-0.0282	-7e-04	0.0049	0.0048	0.0091	-0.0091	-0.0024	0.0137	-0.0029	0.0063	0.001	6e-04	-4e-04	-0.0067	-0.008	-0.0015	-0.0036	0.0014	0.0034
NA18951	0.0079	-0.0165	-0.0168	0.0097	0.0349	-0.0216	7e-04	-0.0072	0.0093	-0.0144	-0.0078	0.0067	0.0016	-4e-04	-0.0035	0.0049	0.0127	0.0054	-0.0016	-0.0155
