indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01798	-0.01	0.0285	0.0094	0.0092	0.0016	-0.002	0.0013	-0.007	-0.0021	0.0086	0.005	-9e-04	-0.0068	-4e-04	-0.002	0.0011	0.0036	0.0038	-0.0019	0.0038
HG01799	-0.0085	0.0302	0.006	0.0103	-0.0016	6e-04	0.0055	-0.0043	0.0015	-0.0093	0.004	0.0068	0.0046	-0.0029	-0.0054	3e-04	-0.0028	-0.0044	-0.0014	0.0034
HG01800	-0.0099	0.0251	0.0073	0.0062	0.001	-0.0012	8e-04	-0.0027	-0.0016	0.005	0.0016	-0.0019	6e-04	-0.0014	3e-04	-0.0014	-4e-04	1e-04	1e-04	-0.0015
HG01801	-0.0086	0.0254	0.0163	0.0129	0.0026	-0.0017	0.0028	-0.0086	0.0034	-0.0029	0.0116	0.0034	0.0012	0.0041	-0.0031	0.0036	-0.0022	-0.0054	0.0086	0.0042
HG01802	-0.0086	0.0282	0.0036	0.0078	0.0018	7e-04	5e-04	-0.0089	0.003	-0.0021	0.0099	-0.0048	0.0048	0.0019	0.0019	-2e-04	0.0053	-0.0025	-0.003	-9e-04
HG01804	-0.0082	0.0283	0.0036	0.0094	-0.0014	-1e-04	9e-04	0.0037	-0.0027	-0.0029	-0.004	-0.0022	9e-04	-4e-04	0.0024	0.0024	-0.0026	-4e-04	0.0051	0.0023
HG01805	-0.01	0.0287	0.0024	0.0089	2e-04	9e-04	-0.0018	0.0031	0	0.0018	-9e-04	-0.0025	0.0014	-0.002	-0.0028	-0.0014	-5e-04	0.0046	-0.0067	-0.0037
HG01806	-0.0092	0.025	0.0066	0.0059	9e-04	-0.002	0.0025	-0.0011	0.0041	6e-04	0.0077	-0.011	0.002	0.0028	0.0049	-9e-04	0.0034	0.0025	-0.0084	-0.002
HG01807	-0.0084	0.0321	0.0065	4e-04	-0.0026	-0.0088	3e-04	0.0063	-0.0021	8e-04	-0.0048	-0.0068	-8e-04	-0.0012	0.0024	0.0053	3e-04	0.001	-0.0043	0.0023
HG01808	-0.0099	0.0226	0.0048	0.0115	5e-04	-0.0036	0.001	0.0046	0.0022	-0.002	-0.0033	7e-04	0.0066	0.0027	0.0025	0.003	-0.0037	-6e-04	0.0105	0.0013
