ID1	ID2	IBD_CM_SUM
NA19703	NA20336	10.33012
HG02687	HG02725	53.2569
HG01148	HG01447	31.28898
HG03193	HG03369	25.31776
HG03394	HG03458	19.7854
HG03681	HG03887	92.26909
HG02111	HG02284	12.82436
HG01260	HG01468	103.9191
HG00188	HG00325	7.890556
HG01148	HG01275	15.30833
HG00285	HG00338	23.16228
HG03515	HG03521	22.02651
HG02687	HG03640	39.56753
HG02645	HG02888	24.8233
HG01148	HG01359	62.35183
HG01051	HG01326	71.56566
HG00188	HG00365	13.72638
HG03750	HG04042	11.84904
HG01134	HG01348	33.9302
HG00464	HG00537	21.96939
HG01148	HG01356	31.10645
NA19703	NA19711	101.2054
HG01051	HG01104	31.29026
HG03074	HG03097	147.1524
HG01205	HG01403	19.45531
HG00346	HG00376	85.57304
HG01134	HG01444	6.869843
HG01082	HG01247	74.52107
HG02265	HG02266	5.05397
HG00638	HG01323	13.05703
HG02645	HG02666	56.28529
HG02688	HG02775	33.9404
HG01048	HG01414	38.67112
HG02502	NA19625	5.701035
HG01134	HG01359	67.13065
HG00269	HG00337	17.29938
HG01048	HG01049	41.73804
HG03786	HG03868	5.744629
HG01051	HG01414	48.01096
HG01363	HG01488	11.56701
HG02181	NA18630	5.810959
HG00269	HG00288	10.58862
HG00346	HG00375	11.47091
HG00638	HG02235	7.464279
HG03750	HG03837	37.12499
HG00285	HG00371	12.14542
HG01051	HG01170	33.37056
HG03074	HG03436	64.52137
HG02111	HG02144	12.03686
HG01048	HG01085	32.98694
HG01363	HG01495	12.43646
HG01363	HG01437	5.777439
HG00188	HG00378	8.322121
NA19649	NA19780	25.17746
HG01459	HG01479	91.46753
HG01393	HG01405	29.91457
HG01083	HG01312	74.83742
HG01459	HG01492	32.8643
HG01363	HG01443	6.958771
HG00638	HG01204	27.34743
HG01982	HG02006	5.071285
HG03268	HG03271	384.9346
HG01968	HG02301	11.91562
HG01082	HG01188	66.24967
HG01148	HG01256	48.06138
HG01148	HG01362	24.64143
HG01205	HG01395	30.58003
HG02687	HG02780	38.02254
HG01051	HG01083	33.56128
HG01134	HG01360	22.83627
HG03099	HG03124	12.6088
HG01051	HG01164	39.84676
NA19380	NA19394	11.46983
HG01861	HG02075	5.311234
HG01134	HG01494	14.11211
HG01384	HG01431	17.72967
HG01205	HG01242	22.52399
HG01051	HG01398	27.06325
HG01459	HG01494	16.39675
HG00189	HG00304	13.79258
HG01148	HG01377	23.06887
HG03099	HG03100	30.666
HG00269	HG00273	17.43407
NA19315	NA19378	15.40357
HG00269	HG00342	10.18573
HG01051	HG01242	34.42779
HG01048	HG01248	47.46544
HG01363	NA19685	5.397278
HG02688	HG03016	5.121933
HG01051	HG01191	63.00064
HG00188	HG00271	18.2731
HG00188	HG00351	9.024441
HG01048	HG01392	81.10532
HG00346	HG00362	34.59318
NA19350	NA19397	436.8398
HG00421	HG00530	12.31254
HG03099	HG03351	7.411057
HG00269	HG00378	36.65116
HG02688	HG02790	18.99566
HG01048	HG01073	35.73739
HG00367	HG00382	16.1057
HG02952	HG03099	20.78578
HG03268	HG03313	9.890656
HG01051	HG01052	12.35869
HG01051	HG01080	49.54759
HG02688	HG03019	42.53947
HG02153	HG02391	6.671341
HG01048	HG01077	32.84842
HG03074	HG03225	6.952423
HG01048	HG01242	5.48729
HG03750	HG03899	6.738724
HG00346	HG00351	7.816589
HG01586	HG03765	13.6795
HG03099	HG03300	13.89622
HG02684	HG02727	42.19729
HG00269	HG00366	26.46038
HG01051	HG01063	28.54664
HG01048	HG01176	74.43745
HG01363	HG01491	12.61627
HG01982	HG02271	13.66913
HG03750	HG04210	6.074547
HG02808	HG02870	19.87364
HG01134	HG01140	5.652077
HG03099	HG03129	12.14871
NA20296	NA20317	256.3598
HG00188	HG00366	22.12852
HG01048	HG03247	6.86615
HG01459	HG01464	26.27069
HG01051	HG01190	52.43677
HG01048	HG01412	115.6551
HG03099	HG03120	15.3674
HG03786	HG04025	15.15945
HG01048	HG01102	60.12309
HG01363	HG01492	12.0966
HG01134	HG01345	64.66754
HG01048	HG01325	30.40981
HG00346	HG00366	6.41119
HG01051	HG01061	38.80586
HG01965	NA19752	5.379593
HG02688	HG02724	37.03113
HG00331	HG00362	20.08371
NA18915	NA19239	10.1276
HG03099	HG03511	9.801086
HG01048	HG01054	30.34553
HG01915	HG02052	10.49841
HG01051	HG01392	22.73293
HG02688	HG03015	23.6395
HG01363	HG01377	10.05281
HG03786	HG04017	14.38894
HG01051	HG01308	41.07758
HG00269	HG00365	16.46926
HG01048	HG01402	41.09516
HG01051	HG01413	61.16451
HG00269	HG00272	29.36644
HG01363	HG01494	19.63472
HG00269	HG00306	11.92839
HG00315	HG00349	13.94839
HG02688	HG03022	26.77686
NA06989	NA11893	81.31255
HG03741	HG03837	6.862625
HG00732	HG01164	98.57997
HG00732	HG00743	58.80281
HG00315	HG00366	22.21108
HG02952	HG03343	6.236404
HG02153	HG02188	216.0683
HG01198	HG01402	29.32637
HG03629	NA20858	5.689697
HG03074	HG03484	5.247467
HG03074	HG03432	11.72988
HG02309	HG02433	34.75885
HG00732	HG01051	22.50315
HG01198	HG01248	8.738876
HG00231	HG00258	13.88568
